date,STATION,faw_obs,faw_model,residual
2017-10-07,Hays,0.666,0.935,-0.269
2017-10-07,Lake City,0.646,0.505,0.141
2017-10-07,Lakin,1.017,0.982,0.035
2017-10-07,Lane,0.838,0.828,0.010
2017-10-07,Manhattan,0.732,0.617,0.115
2017-10-07,McPherson 1S,0.947,0.685,0.262
2017-10-07,Overbrook,0.714,0.638,0.076
2017-10-07,Parsons,0.706,0.744,-0.037
2017-10-07,Richfield,0.921,0.824,0.097
2017-10-07,Satanta,0.752,0.733,0.019
2017-10-07,Tribune,0.920,0.778,0.142
2017-10-07,Viola,0.701,0.982,-0.281
2017-10-08,Ashland Bottoms,0.591,0.619,-0.029
2017-10-08,Colby,1.017,0.881,0.136
2017-10-08,Garden City,0.758,0.962,-0.204
2017-10-08,Gypsum,0.760,0.947,-0.187
2017-10-08,Hays,0.626,0.900,-0.274
2017-10-08,Lake City,0.559,0.485,0.074
2017-10-08,Lakin,0.952,0.968,-0.015
2017-10-08,Lane,0.809,0.811,-0.001
2017-10-08,Lorraine,1.168,0.965,0.203
2017-10-08,Manhattan,0.732,0.596,0.136
2017-10-08,McPherson 1S,0.853,0.674,0.179
2017-10-08,Overbrook,0.633,0.619,0.014
2017-10-08,Parsons,0.679,0.724,-0.045
2017-10-08,Richfield,0.900,0.819,0.081
2017-10-08,Satanta,0.742,0.720,0.023
2017-10-08,Tribune,0.907,0.778,0.129
2017-10-08,Viola,0.675,0.948,-0.274
2017-10-09,Ashland Bottoms,0.573,0.609,-0.035
2017-10-09,Colby,1.004,0.878,0.126
2017-10-09,Garden City,0.737,0.941,-0.204
2017-10-09,Gypsum,0.711,0.935,-0.224
2017-10-09,Hays,0.602,0.867,-0.265
2017-10-09,Lake City,0.498,0.475,0.024
2017-10-09,Lakin,0.922,0.952,-0.030
2017-10-09,Lane,0.790,0.792,-0.002
2017-10-09,Lorraine,1.093,0.953,0.140
2017-10-09,Manhattan,0.733,0.586,0.147
2017-10-09,McPherson 1S,0.772,0.666,0.106
2017-10-09,Overbrook,0.604,0.609,-0.005
2017-10-09,Parsons,0.658,0.707,-0.049
2017-10-09,Richfield,0.889,0.812,0.077
2017-10-09,Satanta,0.735,0.705,0.030
2017-10-09,Tribune,0.895,0.774,0.121
2017-10-09,Viola,0.656,0.920,-0.264
2017-10-10,Ashland Bottoms,0.552,0.603,-0.052
2017-10-10,Colby,0.990,0.875,0.116
2017-10-10,Garden City,0.713,0.920,-0.207
2017-10-10,Gypsum,0.676,0.922,-0.245
2017-10-10,Hays,0.580,0.835,-0.255
2017-10-10,Lake City,0.477,0.468,0.010
2017-10-10,Lakin,0.905,0.935,-0.030
2017-10-10,Lane,0.765,0.773,-0.007
2017-10-10,Lorraine,1.044,0.940,0.104
2017-10-10,Manhattan,0.725,0.581,0.144
2017-10-10,McPherson 1S,0.723,0.656,0.067
2017-10-10,Overbrook,0.585,0.603,-0.018
2017-10-10,Parsons,0.711,0.736,-0.025
2017-10-10,Richfield,0.873,0.805,0.068
2017-10-10,Satanta,0.717,0.690,0.026
2017-10-10,Tribune,0.875,0.770,0.105
2017-10-10,Viola,0.638,0.891,-0.253
2017-10-11,Ashland Bottoms,0.532,0.594,-0.062
2017-10-11,Colby,0.978,0.869,0.109
2017-10-11,Garden City,0.699,0.897,-0.197
2017-10-11,Gypsum,0.673,0.901,-0.228
2017-10-11,Hays,0.562,0.801,-0.239
2017-10-11,Lake City,0.452,0.456,-0.004
2017-10-11,Lakin,0.890,0.916,-0.027
2017-10-11,Lane,0.752,0.752,-0.000
2017-10-11,Lorraine,1.018,0.920,0.097
2017-10-11,Manhattan,0.721,0.573,0.148
2017-10-11,McPherson 1S,0.705,0.638,0.067
2017-10-11,Overbrook,0.569,0.594,-0.025
2017-10-11,Parsons,0.690,0.718,-0.028
2017-10-11,Richfield,0.860,0.795,0.065
2017-10-11,Satanta,0.708,0.674,0.034
2017-10-11,Tribune,0.865,0.763,0.102
2017-10-11,Viola,0.621,0.859,-0.238
2017-10-12,Ashland Bottoms,0.528,0.583,-0.055
2017-10-12,Colby,0.971,0.862,0.109
2017-10-12,Garden City,0.698,0.874,-0.176
2017-10-12,Gypsum,0.658,0.877,-0.219
2017-10-12,Hays,0.550,0.768,-0.218
2017-10-12,Lake City,0.434,0.440,-0.006
2017-10-12,Lakin,0.879,0.897,-0.019
2017-10-12,Lane,0.745,0.731,0.014
2017-10-12,Lorraine,1.002,0.897,0.105
2017-10-12,Manhattan,0.719,0.563,0.156
2017-10-12,McPherson 1S,0.677,0.616,0.061
2017-10-12,Overbrook,0.560,0.584,-0.024
2017-10-12,Parsons,0.674,0.701,-0.027
2017-10-12,Richfield,0.854,0.785,0.069
2017-10-12,Satanta,0.710,0.658,0.052
2017-10-12,Tribune,0.861,0.756,0.105
2017-10-12,Viola,0.609,0.824,-0.215
2017-10-13,Ashland Bottoms,0.528,0.572,-0.044
2017-10-13,Colby,0.968,0.856,0.112
2017-10-13,Garden City,0.702,0.853,-0.151
2017-10-13,Gypsum,0.646,0.853,-0.207
2017-10-13,Hays,0.540,0.736,-0.195
2017-10-13,Lake City,0.416,0.424,-0.008
2017-10-13,Lakin,0.865,0.880,-0.016
2017-10-13,Lane,0.745,0.712,0.032
2017-10-13,Lorraine,0.985,0.873,0.112
2017-10-13,Manhattan,0.721,0.553,0.168
2017-10-13,McPherson 1S,0.672,0.594,0.078
2017-10-13,Overbrook,0.556,0.573,-0.017
2017-10-13,Parsons,0.663,0.685,-0.022
2017-10-13,Richfield,0.850,0.776,0.074
2017-10-13,Satanta,0.713,0.643,0.070
2017-10-13,Tribune,0.855,0.749,0.107
2017-10-13,Viola,0.607,0.791,-0.183
2017-10-14,Ashland Bottoms,0.527,0.562,-0.036
2017-10-14,Garden City,0.704,0.835,-0.131
2017-10-14,Gypsum,0.630,0.831,-0.201
2017-10-14,Hays,0.533,0.707,-0.174
2017-10-14,Lake City,0.399,0.410,-0.011
2017-10-14,Lakin,0.854,0.866,-0.012
2017-10-14,Lane,0.734,0.696,0.038
2017-10-14,Lorraine,0.974,0.852,0.122
2017-10-14,Manhattan,0.723,0.545,0.178
2017-10-14,McPherson 1S,0.675,0.575,0.100
2017-10-14,Overbrook,0.553,0.564,-0.011
2017-10-14,Parsons,0.647,0.670,-0.023
2017-10-14,Richfield,0.842,0.769,0.073
2017-10-14,Satanta,0.711,0.632,0.080
2017-10-14,Tribune,0.849,0.743,0.105
2017-10-14,Viola,0.607,0.760,-0.154
2017-10-15,Ashland Bottoms,0.951,0.744,0.207
2017-10-15,Garden City,0.703,0.820,-0.117
2017-10-15,Gypsum,0.682,0.848,-0.166
2017-10-15,Hays,0.522,0.682,-0.160
2017-10-15,Lake City,0.389,0.397,-0.008
2017-10-15,Lakin,0.841,0.854,-0.013
2017-10-15,Lane,0.724,0.683,0.041
2017-10-15,Lorraine,0.952,0.834,0.118
2017-10-15,Manhattan,0.745,0.587,0.158
2017-10-15,McPherson 1S,0.742,0.578,0.164
2017-10-15,Overbrook,0.546,0.569,-0.023
2017-10-15,Parsons,0.926,0.930,-0.005
2017-10-15,Richfield,0.830,0.764,0.066
2017-10-15,Satanta,0.703,0.623,0.080
2017-10-15,Tribune,0.837,0.740,0.097
2017-10-15,Viola,0.639,0.790,-0.150
2017-10-16,Ashland Bottoms,0.855,0.742,0.113
2017-10-16,Garden City,0.700,0.808,-0.108
2017-10-16,Gypsum,0.654,0.836,-0.182
2017-10-16,Hays,0.504,0.660,-0.156
2017-10-16,Lake City,0.373,0.386,-0.013
2017-10-16,Lakin,0.834,0.844,-0.010
2017-10-16,Lane,0.713,0.673,0.040
2017-10-16,Lorraine,0.932,0.820,0.111
